Voltage-Current,,,,,
Time,Voltage(V),Current(A),D+(V),D-(V),Date
13:27:23,5.199,0.0671,0.02,0.01,2023-04-28
13:27:24,5.199,0.0672,0.02,0.01,2023-04-28
13:27:25,5.2,0.0672,0.02,0.01,2023-04-28
13:27:26,5.2,0.0674,0.02,0.01,2023-04-28
13:27:27,5.199,0.0675,0.02,0.01,2023-04-28
13:27:28,5.199,0.0677,0.02,0.01,2023-04-28
13:27:29,5.199,0.0677,0.02,0.01,2023-04-28
13:27:30,5.199,0.0677,0.02,0.01,2023-04-28
13:27:31,5.199,0.0678,0.02,0.01,2023-04-28
13:27:32,5.199,0.0678,0.02,0.01,2023-04-28
13:27:33,5.199,0.0676,0.01,0.01,2023-04-28
13:27:34,5.199,0.0673,0.01,0.01,2023-04-28
13:27:35,5.2,0.0673,0.01,0.01,2023-04-28
13:27:36,5.199,0.0673,0.01,0.01,2023-04-28
13:27:37,5.2,0.0673,0.01,0.01,2023-04-28
13:27:38,5.199,0.0673,0.01,0.01,2023-04-28
13:27:39,5.199,0.067,0.01,0.01,2023-04-28
13:27:40,5.199,0.0671,0.01,0.01,2023-04-28
13:27:41,5.199,0.0672,0.01,0.01,2023-04-28
13:27:42,5.199,0.0675,0.01,0.01,2023-04-28
13:27:43,5.199,0.0675,0.01,0.01,2023-04-28
13:27:44,5.199,0.0676,0.01,0.01,2023-04-28
13:27:45,5.199,0.0679,0.01,0.01,2023-04-28
13:27:46,5.2,0.068,0.02,0.01,2023-04-28
13:27:47,5.199,0.0677,0.02,0.01,2023-04-28
13:27:48,5.199,0.0674,0.02,0.01,2023-04-28
13:27:49,5.199,0.0675,0.02,0.01,2023-04-28
13:27:50,5.199,0.0675,0.02,0.01,2023-04-28
13:27:51,5.199,0.0674,0.01,0.01,2023-04-28
13:27:52,5.199,0.0674,0.01,0.01,2023-04-28
13:27:53,5.199,0.0675,0.01,0.01,2023-04-28
13:27:54,5.199,0.0673,0.01,0.01,2023-04-28
13:27:55,5.199,0.0672,0.01,0.01,2023-04-28
13:27:56,5.199,0.0671,0.01,0.01,2023-04-28
13:27:57,5.198,0.0701,0.01,0.01,2023-04-28
13:27:58,5.199,0.0672,0.01,0.01,2023-04-28
13:27:59,5.199,0.0672,0.01,0.01,2023-04-28
13:28:00,5.199,0.067,0.01,0.01,2023-04-28
13:28:01,5.199,0.0671,0.01,0.01,2023-04-28
13:28:02,5.199,0.0671,0.01,0.01,2023-04-28
13:28:03,5.199,0.0674,0.01,0.01,2023-04-28
13:28:04,5.199,0.0673,0.01,0.01,2023-04-28
13:28:05,5.199,0.0672,0.01,0.01,2023-04-28
13:28:06,5.199,0.0671,0.01,0.01,2023-04-28
13:28:07,5.199,0.067,0.01,0.01,2023-04-28
13:28:08,5.199,0.0672,0.01,0.01,2023-04-28
13:28:09,5.199,0.0674,0.01,0.01,2023-04-28
13:28:10,5.199,0.0673,0.01,0.01,2023-04-28
13:28:11,5.199,0.0673,0.01,0.01,2023-04-28
13:28:12,5.199,0.0674,0.02,0.01,2023-04-28
13:28:13,5.199,0.0674,0.02,0.01,2023-04-28
13:28:14,5.199,0.0673,0.02,0.01,2023-04-28
13:28:15,5.199,0.0673,0.02,0.01,2023-04-28
13:28:16,5.199,0.0695,0.02,0.01,2023-04-28
13:28:17,5.199,0.0674,0.02,0.01,2023-04-28
13:28:18,5.199,0.0675,0.02,0.01,2023-04-28
13:28:19,5.199,0.0672,0.02,0.01,2023-04-28
13:28:20,5.199,0.0672,0.02,0.01,2023-04-28
13:28:21,5.199,0.0672,0.02,0.01,2023-04-28
13:28:22,5.2,0.0672,0.02,0.01,2023-04-28
13:28:23,5.2,0.0672,0.02,0.01,2023-04-28
13:28:24,5.199,0.0672,0.02,0.01,2023-04-28
13:28:25,5.199,0.0671,0.02,0.01,2023-04-28
13:28:26,5.199,0.0671,0.02,0.01,2023-04-28
13:28:27,5.199,0.0675,0.02,0.01,2023-04-28
13:28:28,5.199,0.0673,0.02,0.01,2023-04-28
13:28:29,5.199,0.0671,0.02,0.01,2023-04-28
13:28:30,5.199,0.067,0.02,0.01,2023-04-28
13:28:31,5.199,0.0671,0.02,0.01,2023-04-28
13:28:32,5.199,0.0673,0.02,0.01,2023-04-28
13:28:33,5.199,0.0673,0.02,0.01,2023-04-28
13:28:34,5.199,0.0672,0.02,0.01,2023-04-28
13:28:35,5.199,0.0674,0.02,0.01,2023-04-28
13:28:36,5.199,0.0673,0.02,0.01,2023-04-28
13:28:37,5.199,0.0674,0.02,0.01,2023-04-28
13:28:38,5.199,0.0673,0.02,0.01,2023-04-28
13:28:39,5.199,0.0672,0.02,0.01,2023-04-28
13:28:40,5.199,0.0672,0.02,0.01,2023-04-28
13:28:41,5.199,0.0672,0.02,0.01,2023-04-28
